time,kInc,emittedTotal,Nd_before,Nd_after,removedBoundaryTotal,Kapp_peak_MPam05,Ktip_before_MPam05,Ktip_after_MPam05,Ktip_drop_MPam05
1.18002900e+12,1180029,1,0,1,0,1.11800996e+00,1.11800996e+00,1.00121225e+00,1.16797709e-01
1.18803262e+12,1188051,2,1,2,0,1.12559293e+00,1.11768060e+00,1.00088289e+00,1.16797709e-01
1.19574499e+12,1195782,3,2,3,0,1.13289996e+00,1.11758538e+00,1.00078767e+00,1.16797709e-01
1.20329811e+12,1203354,4,3,4,0,1.14005611e+00,1.11763473e+00,1.00083702e+00,1.16797709e-01
1.21073899e+12,1210814,5,4,5,0,1.14710591e+00,1.11779082e+00,1.00099311e+00,1.16797709e-01
1.21809263e+12,1218187,6,5,6,0,1.15407307e+00,1.11803485e+00,1.00123715e+00,1.16797709e-01
1.22537404e+12,1225488,7,6,7,0,1.16097179e+00,1.11835493e+00,1.00155722e+00,1.16797709e-01
1.23259325e+12,1232727,8,7,8,0,1.16781158e+00,1.11874276e+00,1.00194505e+00,1.16797709e-01
1.23975724e+12,1239911,9,8,9,0,1.17459905e+00,1.11919192e+00,1.00239421e+00,1.16797709e-01
1.24687104e+12,1247045,10,9,10,0,1.18133897e+00,1.11969697e+00,1.00289926e+00,1.16797709e-01
1.25393965e+12,1254134,11,10,11,0,1.18803607e+00,1.12025517e+00,1.00345746e+00,1.16797709e-01
1.26096507e+12,1261180,12,11,12,0,1.19469226e+00,1.12086088e+00,1.00406318e+00,1.16797709e-01
1.26795232e+12,1268188,13,12,13,0,1.20131227e+00,1.12151483e+00,1.00471712e+00,1.16797709e-01
1.27490137e+12,1275158,14,13,14,0,1.20789610e+00,1.12221035e+00,1.00541264e+00,1.16797709e-01
1.28181625e+12,1282094,15,14,15,0,1.21444756e+00,1.12294865e+00,1.00615095e+00,1.16797709e-01
1.28869696e+12,1288996,16,15,16,0,1.22096663e+00,1.12372453e+00,1.00692682e+00,1.16797709e-01
1.29554650e+12,1295867,17,16,17,0,1.22745618e+00,1.12453877e+00,1.00774106e+00,1.16797709e-01
1.30236688e+12,1302709,18,17,18,0,1.23391810e+00,1.12539052e+00,1.00859281e+00,1.16797709e-01
1.30915711e+12,1309521,19,18,19,0,1.24035146e+00,1.12627413e+00,1.00947642e+00,1.16797709e-01
1.31592119e+12,1316307,20,19,20,0,1.24676003e+00,1.12719353e+00,1.01039582e+00,1.16797709e-01
1.32265812e+12,1323066,21,20,21,0,1.25314289e+00,1.12814332e+00,1.01134561e+00,1.16797709e-01
1.32936992e+12,1329800,22,21,22,0,1.25950193e+00,1.12912437e+00,1.01232666e+00,1.16797709e-01
1.33605658e+12,1336509,23,22,23,0,1.26583716e+00,1.13013377e+00,1.01333606e+00,1.16797709e-01
1.34272011e+12,1343195,24,23,24,0,1.27215047e+00,1.13117275e+00,1.01437504e+00,1.16797709e-01
1.34936051e+12,1349858,25,24,25,0,1.27844187e+00,1.13223864e+00,1.01544093e+00,1.16797709e-01
1.35597878e+12,1356499,26,25,26,0,1.28471231e+00,1.13333109e+00,1.01653338e+00,1.16797709e-01
1.36257593e+12,1363119,27,26,27,0,1.29096273e+00,1.13444975e+00,1.01765204e+00,1.16797709e-01
1.36915195e+12,1369718,28,27,28,0,1.29719314e+00,1.13559243e+00,1.01879472e+00,1.16797709e-01
1.37570885e+12,1376298,29,28,29,0,1.30340542e+00,1.13676116e+00,1.01996345e+00,1.16797709e-01
1.38224563e+12,1382858,30,29,30,0,1.30959865e+00,1.13795178e+00,1.02115407e+00,1.16797709e-01
1.38876330e+12,1389399,31,30,31,0,1.31577376e+00,1.13916470e+00,1.02236700e+00,1.16797709e-01
1.39526285e+12,1395922,32,31,32,0,1.32193171e+00,1.14040021e+00,1.02360250e+00,1.16797709e-01
1.40174429e+12,1402427,33,32,33,0,1.32807251e+00,1.14165652e+00,1.02485881e+00,1.16797709e-01
1.40820918e+12,1408916,34,33,34,0,1.33419762e+00,1.14293527e+00,1.02613756e+00,1.16797709e-01
1.41465622e+12,1415455,35,34,35,0,1.34030582e+00,1.14423200e+00,1.02743429e+00,1.16797709e-01
1.42108764e+12,1422092,36,35,36,0,1.34639923e+00,1.14555021e+00,1.02875250e+00,1.16797709e-01
1.42750267e+12,1428823,37,36,37,0,1.35247710e+00,1.14688652e+00,1.03008881e+00,1.16797709e-01
1.43390129e+12,1435648,38,37,38,0,1.35853942e+00,1.14823970e+00,1.03144199e+00,1.16797709e-01
1.44028532e+12,1442566,39,38,39,0,1.36458793e+00,1.14961253e+00,1.03281482e+00,1.16797709e-01
1.44665470e+12,1449577,40,39,40,0,1.37062255e+00,1.15100325e+00,1.03420555e+00,1.16797709e-01
1.45300917e+12,1456678,41,40,41,0,1.37664306e+00,1.15241011e+00,1.03561240e+00,1.16797709e-01
1.45934960e+12,1463870,42,41,42,0,1.38265024e+00,1.15383389e+00,1.03703618e+00,1.16797709e-01
1.46567556e+12,1471150,43,42,43,0,1.38864374e+00,1.15527250e+00,1.03847480e+00,1.16797709e-01
1.47198875e+12,1478520,44,43,44,0,1.39462512e+00,1.15672871e+00,1.03993100e+00,1.16797709e-01
1.47828859e+12,1485977,45,44,45,0,1.40059386e+00,1.15819985e+00,1.04140214e+00,1.16797709e-01
1.48457504e+12,1493521,46,45,46,0,1.40654991e+00,1.15968491e+00,1.04288720e+00,1.16797709e-01
1.49084910e+12,1501151,47,46,47,0,1.41249422e+00,1.16118526e+00,1.04438755e+00,1.16797709e-01
1.49711072e+12,1508867,48,47,48,0,1.41842674e+00,1.16269966e+00,1.04590195e+00,1.16797709e-01
1.50336073e+12,1516668,49,48,49,0,1.42434827e+00,1.16422910e+00,1.04743139e+00,1.16797709e-01
1.50959829e+12,1524553,50,49,50,0,1.43025800e+00,1.16577057e+00,1.04897286e+00,1.16797709e-01
1.51582413e+12,1532521,51,50,51,0,1.43615664e+00,1.16732513e+00,1.05052742e+00,1.16797709e-01
1.52203901e+12,1540573,52,51,52,0,1.44204487e+00,1.16889358e+00,1.05209587e+00,1.16797709e-01
1.52824273e+12,1548707,53,52,53,0,1.44792255e+00,1.17047452e+00,1.05367681e+00,1.16797709e-01
1.53443529e+12,1556923,54,53,54,0,1.45378964e+00,1.17206712e+00,1.05526941e+00,1.16797709e-01
1.54061719e+12,1565220,55,54,55,0,1.45964663e+00,1.17367188e+00,1.05687417e+00,1.16797709e-01
1.54678841e+12,1573598,56,55,56,0,1.46549351e+00,1.17528795e+00,1.05849024e+00,1.16797709e-01
1.55295010e+12,1582057,57,56,57,0,1.47133136e+00,1.17691732e+00,1.06011961e+00,1.16797709e-01
1.55910079e+12,1590595,58,57,58,0,1.47715879e+00,1.17855551e+00,1.06175780e+00,1.16797709e-01
1.56524226e+12,1599213,59,58,59,0,1.48297748e+00,1.18020646e+00,1.06340875e+00,1.16797709e-01
1.57137381e+12,1607910,60,59,60,0,1.48878677e+00,1.18186743e+00,1.06506972e+00,1.16797709e-01
1.57749568e+12,1616685,61,60,61,0,1.49458689e+00,1.18353852e+00,1.06674081e+00,1.16797709e-01
1.58360859e+12,1625539,62,61,62,0,1.50037853e+00,1.18522083e+00,1.06842312e+00,1.16797709e-01
1.58971204e+12,1634470,63,62,63,0,1.50616120e+00,1.18691235e+00,1.07011464e+00,1.16797709e-01
