time,kInc,recordType,Nd,emittedTotal,removedTipStep,removedTipTotal,removedBoundaryStep,removedBoundaryTotal,rss_source,Kapp_MPam05,KD_MPam05,Ktip_MPam05,KtipDrop_MPam05,KtipPeak_MPam05,back_stress,dxMin,P_first,V_first,RSS_first,P_last,V_last,RSS_last
0.00000000e+00,0,0,0,0,0,0,0,0,-7.36828440e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
2.00000000e+10,20000,0,0,0,0,0,0,0,-6.61177101e-04,1.89488556e-02,0.00000000e+00,1.89488556e-02,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
4.00000000e+10,40000,0,0,0,0,0,0,0,-5.85525762e-04,3.78977113e-02,0.00000000e+00,3.78977113e-02,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
6.00000000e+10,60000,0,0,0,0,0,0,0,-5.09874424e-04,5.68465669e-02,0.00000000e+00,5.68465669e-02,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
8.00000000e+10,80000,0,0,0,0,0,0,0,-4.34223085e-04,7.57954226e-02,0.00000000e+00,7.57954226e-02,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
1.00000000e+11,100000,0,0,0,0,0,0,0,-3.58571746e-04,9.47442782e-02,0.00000000e+00,9.47442782e-02,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
1.20000000e+11,120000,0,0,0,0,0,0,0,-2.82920407e-04,1.13693134e-01,0.00000000e+00,1.13693134e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
1.40000000e+11,140000,0,0,0,0,0,0,0,-2.07269068e-04,1.32641990e-01,0.00000000e+00,1.32641990e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
1.60000000e+11,160000,0,0,0,0,0,0,0,-1.31617729e-04,1.51590845e-01,0.00000000e+00,1.51590845e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
1.80000000e+11,180000,0,0,0,0,0,0,0,-5.59663902e-05,1.70539701e-01,0.00000000e+00,1.70539701e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
2.00000000e+11,200000,0,0,0,0,0,0,0,1.96849487e-05,1.89488556e-01,0.00000000e+00,1.89488556e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
2.20000000e+11,220000,0,0,0,0,0,0,0,9.53362876e-05,2.08437412e-01,0.00000000e+00,2.08437412e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
2.40000000e+11,240000,0,0,0,0,0,0,0,1.70987626e-04,2.27386268e-01,0.00000000e+00,2.27386268e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
2.60000000e+11,260000,0,0,0,0,0,0,0,2.46638965e-04,2.46335123e-01,0.00000000e+00,2.46335123e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
2.80000000e+11,280000,0,0,0,0,0,0,0,3.22290304e-04,2.65283979e-01,0.00000000e+00,2.65283979e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
3.00000000e+11,300000,0,0,0,0,0,0,0,3.97941643e-04,2.84232835e-01,0.00000000e+00,2.84232835e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
3.20000000e+11,320000,0,0,0,0,0,0,0,4.73592982e-04,3.03181690e-01,0.00000000e+00,3.03181690e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
3.40000000e+11,340000,0,0,0,0,0,0,0,5.49244321e-04,3.22130546e-01,0.00000000e+00,3.22130546e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
3.60000000e+11,360000,0,0,0,0,0,0,0,6.24895660e-04,3.41079402e-01,0.00000000e+00,3.41079402e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
3.80000000e+11,380000,0,0,0,0,0,0,0,7.00546999e-04,3.60028257e-01,0.00000000e+00,3.60028257e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
4.00000000e+11,400000,0,0,0,0,0,0,0,7.76198338e-04,3.78977113e-01,0.00000000e+00,3.78977113e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
4.20000000e+11,420000,0,0,0,0,0,0,0,8.51849677e-04,3.97925969e-01,0.00000000e+00,3.97925969e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
4.40000000e+11,440000,0,0,0,0,0,0,0,9.27501015e-04,4.16874824e-01,0.00000000e+00,4.16874824e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
4.60000000e+11,460000,0,0,0,0,0,0,0,1.00315235e-03,4.35823680e-01,0.00000000e+00,4.35823680e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
4.80000000e+11,480000,0,0,0,0,0,0,0,1.07880369e-03,4.54772536e-01,0.00000000e+00,4.54772536e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
5.00000000e+11,500000,0,0,0,0,0,0,0,1.15445503e-03,4.73721391e-01,0.00000000e+00,4.73721391e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
5.20000000e+11,520000,0,0,0,0,0,0,0,1.23010637e-03,4.92670247e-01,0.00000000e+00,4.92670247e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
5.40000000e+11,540000,0,0,0,0,0,0,0,1.30575771e-03,5.11619103e-01,0.00000000e+00,5.11619103e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
5.60000000e+11,560000,0,0,0,0,0,0,0,1.38140905e-03,5.30567958e-01,0.00000000e+00,5.30567958e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
5.80000000e+11,580000,0,0,0,0,0,0,0,1.45706039e-03,5.49516814e-01,0.00000000e+00,5.49516814e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
6.00000000e+11,600000,0,0,0,0,0,0,0,1.53271173e-03,5.68465669e-01,0.00000000e+00,5.68465669e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
6.20000000e+11,620000,0,0,0,0,0,0,0,1.60836307e-03,5.87414525e-01,0.00000000e+00,5.87414525e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
6.40000000e+11,640000,0,0,0,0,0,0,0,1.68401440e-03,6.06363381e-01,0.00000000e+00,6.06363381e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
6.60000000e+11,660000,0,0,0,0,0,0,0,1.75966574e-03,6.25312236e-01,0.00000000e+00,6.25312236e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
6.80000000e+11,680000,0,0,0,0,0,0,0,1.83531708e-03,6.44261092e-01,0.00000000e+00,6.44261092e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
7.00000000e+11,700000,0,0,0,0,0,0,0,1.91096842e-03,6.63209948e-01,0.00000000e+00,6.63209948e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
7.20000000e+11,720000,0,0,0,0,0,0,0,1.98661976e-03,6.82158803e-01,0.00000000e+00,6.82158803e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
7.40000000e+11,740000,0,0,0,0,0,0,0,2.06227110e-03,7.01107659e-01,0.00000000e+00,7.01107659e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
7.60000000e+11,760000,0,0,0,0,0,0,0,2.13792244e-03,7.20056515e-01,0.00000000e+00,7.20056515e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
7.80000000e+11,780000,0,0,0,0,0,0,0,2.21357378e-03,7.39005370e-01,0.00000000e+00,7.39005370e-01,0.00000000e+00,nan,0.00000000e+00,1.00000000e+02,0,0,0,0,0,0
